Systematic_ID,Gene_name,Gene_product,uniprot_id,FYPOviability,Transcript,Chr,Start,End,Strand,mRNA_gc_content,genomic_coding_region_length,gc_content_of_genomic_coding_region,num_exon_regions,total_cds_length,cds_fraction,cds_gc_content,average_cds_length,num_introns,total_intron_length,average_intron_length,intron_gc_content,primary_transcript,isoform_number,mRNA_abundance,RNA_abundance_in_spores,tAI,mRNA_synthesis_rate,mRNA_half_life,Mass (kDa),pI,Charge,protein_length,CAI,protein_abundance,protein_half_life,evolutionary_rate,dN_dS,Multifunctionality,Nc,co_expression_degree,Paralog,paralog_count
SPAC1002.11,gaa1,GPI-anchor transamidase complex subunit Gaa1,Q9US48,inviable,SPAC1002.11.1,I,1816499.0,1818558.0,+,0.358,1746.0,0.361,1.0,1746.0,1.0,0.461,1746.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,0.86,4.43,0.338480179489421,0.234741784037559,4.76,66.88,7.44,2.02,581,0.6,910.25,,0.827014218009479,0.1192,4.0,49.17,210.0,none,0.0
SPAC1002.12c,ssd1,succinate-semialdehyde dehydrogenase [NAD(P)+] Ssd1,Q9US47,viable,SPAC1002.12c.1,I,1818482.0,1820272.0,-,0.451,1497.0,0.476,1.0,1497.0,1.0,0.421,1497.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,2.3,123.38,0.412196658685987,0.0705218617771509,22.79,53.27,5.82,-3.93,498,0.62,2371.58,10.49837,0.225829383886256,0.1178,5.0,50.992,437.0,ssd2,1.0
SPAC1002.13c,psu1,cell wall beta-glucosidase Psu1,Q9UR09,inviable,SPAC1002.13c.1,I,1821401.0,1823430.0,-,0.427,1254.0,0.495,1.0,1254.0,1.0,0.474,1254.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,48.0,125.9,0.516619482167699,1.26582278481013,10.05,41.75,4.19,-13.59,417,0.47,14645.45,5.627961,0.288625592417062,0.1551,4.0,35.575,350.0,psu2,1.0
SPAC1002.14,itt1,ubiquitin-protein ligase E3 involved in cytoplasmic translational termination,Q9US46,viable,SPAC1002.14.1,I,1824583.0,1826248.0,+,0.375,1308.0,0.387,1.0,1308.0,1.0,0.434,1308.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,1.5,132.62,0.347755261582273,0.216450216450216,5.43,50.3,4.99,-15.12,435,0.63,,,,0.0531,6.0,53.848,131.0,none,0.0
SPAC1002.15c,med6,mediator complex subunit Med6,Q9US45,viable,SPAC1002.15c.1,I,1824486.0,1827118.0,-,0.367,902.0,0.358,4.0,651.0,0.72,0.441,162.75,3.0,251.0,83.67,0.4,primary_transcript,1.0,0.42,12.93,0.338351926750856,0.0752445447705041,9.47,24.91,5.07,-5.1,216,0.59,2397.43,9.505774,0.383886255924171,0.0352,4.0,51.911,407.0,none,0.0
SPAC1002.16c,tna1,plasma membrane carboxylic acid transmembrane transporter Tna1,Q9US44,inviable,SPAC1002.16c.1,I,1827612.0,1829718.0,-,0.352,1500.0,0.386,1.0,1500.0,1.0,0.408,1500.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,0.76,7.88,0.357615747317387,,,55.27,9.32,14.86,499,0.63,,,,0.2202,7.0,51.275,55.0,SPAC1039.04|SPAC11D3.18c|SPBC1683.12,3.0
SPAC1002.17c,urg2,uracil phosphoribosyltransferase,Q9US43,viable,SPAC1002.17c.1,I,1830609.0,1831599.0,-,0.418,570.0,0.467,1.0,570.0,1.0,0.5,570.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,0.74,3.38,0.537223883913533,0.00143299323627192,98.92,20.48,8.96,2.43,189,0.49,955.63,20.05878,0.168957345971564,0.0488,5.0,34.869,37.0,uck2|SPAC1B3.01c,2.0
SPAC1002.18,urg3,"DUF1688 family fungal conserved protein, implicated in uracil or riboflavin metabolism",Q9US42,viable,SPAC1002.18.1,I,1832105.0,1833811.0,+,0.407,1200.0,0.447,1.0,1200.0,1.0,0.434,1200.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,2.4,8.82,0.42064278754734,0.039984006397441,29.09,44.21,6.33,-1.32,399,0.59,7128.44,21.31967,0.356398104265403,0.068,4.0,47.915,41.0,none,0.0
SPAC1002.19,urg1,GTP cyclohydrolase II Urg1,Q9US41,viable,SPAC1002.19.1,I,1835254.0,1837060.0,+,0.431,1320.0,0.478,1.0,1320.0,1.0,0.539,1320.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,1.1,19.48,0.524816861637349,0.000776144424954595,174.28,49.03,6.07,-7.0,439,0.48,,9.471929,0.131279620853081,0.032,4.0,35.044,13.0,none,0.0
SPAC1002.20,SPAC1002.20,dubious,Q9C121,viable,SPAC1002.20.1,I,1823972.0,1824630.0,+,0.348,306.0,0.346,1.0,306.0,1.0,0.434,306.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,0.0,2.44,0.292594976811968,,,12.25,8.66,2.87,101,0.5,,,,,3.0,42.408,48.0,none,0.0
SPAC1006.01,psp3,vacuolar serine protease Psp3,Q9UTS0,viable,SPAC1006.01.1,I,5067518.0,5069371.0,+,0.405,1356.0,0.44,1.0,1356.0,1.0,0.5,1356.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,4.2,168.2,0.428659052191885,0.4739336492891,10.87,48.73,5.51,-12.2,451,0.52,4688.92,17.35115,0.308530805687204,0.0768,3.0,41.041,652.0,isp6,1.0
SPAC1006.02,asa1,"TTT co-chaperone complex, WD repeat subunit Asa1",Q9UTR9,inviable,SPAC1006.02.1,I,5069592.0,5070998.0,+,0.372,1107.0,0.396,1.0,1107.0,1.0,0.447,1107.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,2.2,43.92,0.344419134130217,0.186567164179104,21.0,40.85,7.46,2.68,368,0.57,,,0.704265402843602,0.101,5.0,46.872,55.0,none,0.0
SPAC1006.03c,red1,MTREC (exosome adaptor) complex subunit Red1,Q9UTR8,viable,SPAC1006.03c.1,I,5070931.0,5073898.0,-,0.371,2661.0,0.38,4.0,2139.0,0.8,0.441,534.75,3.0,522.0,174.0,0.391,primary_transcript,1.0,2.1,128.42,0.36464411280461,0.467289719626168,4.4,79.49,4.97,-17.13,712,0.62,1717.83,14.20174,0.922511848341232,0.1316,3.0,52.233,662.0,none,0.0
SPAC1006.04c,mcp3,Schizosaccharomyces specific protein Mcp3,Q9UTR7,viable,SPAC1006.04c.1,I,5074102.0,5077994.0,-,0.347,2859.0,0.35,1.0,2859.0,1.0,0.487,2859.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,0.14,13.3,0.353168663768779,,,109.87,5.47,-18.02,952,0.62,,,,,3.0,50.019,103.0,none,0.0
SPAC1006.05c,och1,"Golgi alpha-1,6-mannosyltransferase Och1",Q9UTR6,viable,SPAC1006.05c.1,I,5078289.0,5080521.0,-,0.373,1191.0,0.419,1.0,1191.0,1.0,0.461,1191.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,2.1,21.45,0.365688596179867,0.278551532033426,9.15,45.93,4.35,-31.11,396,0.61,1652.71,11.27352,0.809478672985782,,8.0,54.25,557.0,none,0.0
SPAC1006.06,rgf2,RhoGEF for Rho1 Rgf2,Q9UTR5,viable,SPAC1006.06.1,I,5080718.0,5085055.0,+,0.387,3576.0,0.396,3.0,3477.0,0.97,0.452,1159.0,2.0,99.0,49.5,0.365,primary_transcript,1.0,3.4,19.1,0.358540254356871,0.363636363636364,15.36,130.88,9.69,37.26,1158,0.63,382.2,,0.496445497630332,0.2716,10.0,51.1,489.0,rgf1,1.0
SPAC1006.07,tif1,translation initiation factor eIF4A tif1,P47943,inviable,SPAC1006.07.1,I,5085530.0,5087031.0,+,0.429,1179.0,0.442,1.0,1179.0,1.0,0.434,1179.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,110.0,1087.85,0.531323557332151,3.2258064516129,54.41,44.44,4.62,-16.44,392,0.48,154934.46,13.96925,0.004739336492891,2.5558,7.0,35.275,308.0,none,0.0
SPAC1006.08,etd1,Spg1-binding protein Etd1,Q9UTR4,condition-dependent,SPAC1006.08.1,I,5087979.0,5089638.0,+,0.373,1238.0,0.395,2.0,1176.0,0.95,0.382,588.0,1.0,62.0,62.0,0.395,primary_transcript,1.0,1.3,2.0,0.327932885173192,0.3125,7.99,43.66,4.61,-19.93,391,0.62,,3.392988,,,9.0,53.706,226.0,none,0.0
SPAC1006.09,win1,MAP kinase kinase kinase Win1,O74304,viable,SPAC1006.09.1,I,5089816.0,5094848.0,+,0.374,4311.0,0.382,1.0,4311.0,1.0,0.395,4311.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,1.8,11.83,0.356464434958011,0.558659217877095,2.85,163.27,6.32,-16.3,1436,0.58,1348.43,150.0,0.703317535545024,0.454,8.0,48.452,306.0,wis4,1.0
SPAC1039.01,SPAC1039.01,"plasma membrane amino acid transmembrane transporter family, related to 7-keto 8-aminopelargonic acid transporter",Q9US40,viable,SPAC1039.01.1,I,5444851.0,5447537.0,+,0.369,1704.0,0.422,1.0,1704.0,1.0,0.408,1704.0,1.0,204.0,204.0,0.355,primary_transcript,1.0,0.68,4.36,0.405624325048378,0.0462534690101758,0.6,61.73,6.35,-2.11,567,0.57,,,,0.0556,6.0,44.968,366.0,SPAC11D3.08c|thi9|SPAPB24D3.02c|SPBC15C4.04c|SPCC584.13|SPCC74.04|SPCC794.03,7.0
SPAC1039.02,efn2,"extracellular 5'-nucleotidase, human NT5E family Efn2",Q9US39,viable,SPAC1039.02.1,I,5449668.0,5451642.0,+,0.396,1806.0,0.41,1.0,1806.0,1.0,0.447,1806.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,7.7,1.93,0.417045548344146,0.0978473581213307,13.37,68.07,4.75,-22.99,601,0.55,3723.38,27.82464,,0.1118,4.0,45.354,87.0,SPAC17G6.03|efn1,2.0
SPAC1039.03,SPAC1039.03,"esterase/lipase, implicated in cellular detoxification",Q9US38,viable,SPAC1039.03.1,I,5452174.0,5453867.0,+,0.389,1026.0,0.437,1.0,1026.0,1.0,0.474,1026.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,2.3,18.86,0.413520981196749,0.117785630153121,6.65,37.36,5.58,-7.17,341,0.57,,,,0.0719,4.0,46.504,195.0,none,0.0
SPAC1039.04,SPAC1039.04,plasma membrane carboxylic acid transmembrane transporter,Q9US37,viable,SPAC1039.04.1,I,5454613.0,5456656.0,+,0.374,1524.0,0.4,1.0,1524.0,1.0,0.395,1524.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,1.2,6.43,0.356936039048062,0.146198830409357,4.92,56.01,8.8,5.8,507,0.62,,,,1.1517,5.0,52.496,165.0,tna1|SPAC11D3.18c|SPBC1683.12,3.0
SPAC1039.05c,klf1,"DNA-binding transcription factor, zf-fungal binuclear cluster type Klf1",Q9US36,viable,SPAC1039.05c.1,I,5456674.0,5459561.0,-,0.375,2651.0,0.381,6.0,2346.0,0.88,0.447,391.0,5.0,305.0,61.0,0.36,primary_transcript,1.0,2.0,46.52,0.348169720255682,0.0673400673400673,3.09,89.01,7.44,4.86,781,0.61,,,,,4.0,51.763,41.0,zas1,1.0
SPAC1039.06,SPAC1039.06,D-serine ammonia-lyase activity,Q9US35,viable,SPAC1039.06.1,I,5460332.0,5462354.0,+,0.37,1248.0,0.414,1.0,1248.0,1.0,0.421,1248.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,2.8,18.0,0.404327900929293,0.0898472596585804,15.13,45.65,5.82,-6.76,415,0.62,7166.02,15.04151,0.592890995260663,0.0953,4.0,51.825,189.0,none,0.0
SPAC1039.07c,SPAC1039.07c,"aminotransferase class-III, possible transaminase, unknown specificity, implicated in amino acid or cofactor metabolism",Q9US34,viable,SPAC1039.07c.1,I,5462118.0,5463813.0,-,0.388,1347.0,0.408,1.0,1347.0,1.0,0.421,1347.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,1.1,10.91,0.36211884686611,0.106723585912487,5.46,48.45,5.97,-6.65,448,0.6,,,,,5.0,51.508,133.0,none,0.0
SPAC1039.08,SPAC1039.08,serine O-acetyltransferase,Q9US33,viable,SPAC1039.08.1,I,5464043.0,5465172.0,+,0.404,813.0,0.455,1.0,813.0,1.0,0.526,813.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,2.0,2.08,0.339143970847523,0.0299670362601139,6.52,29.26,7.16,0.52,270,0.63,,,,,4.0,54.945,28.0,none,0.0
SPAC1039.09,isp5,plasma membrane amino acid transmembrane transporter Isp5,P40901,viable,SPAC1039.09.1,I,5466757.0,5468649.0,+,0.409,1743.0,0.425,1.0,1743.0,1.0,0.474,1743.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,2.5,15.72,0.401854243472435,,,63.85,8.31,7.54,580,0.61,1273.62,,,1.1433,7.0,48.454,88.0,put4|cat1|per1|SPBC1652.02|meu22|SPBC359.01|aat1|nrg1|dip5|SPCPB1C11.02,10.0
SPAC1039.10,mmf2,"mitochondrial matrix protein, YjgF family protein Mmf2, reactive intermediate imine deaminase A homolog",Q9UR06,viable,SPAC1039.10.1,I,5470864.0,5471520.0,+,0.363,437.0,0.387,2.0,381.0,0.87,0.401,190.5,1.0,56.0,56.0,0.293,primary_transcript,1.0,1.7,10.86,0.434840238709257,0.01999600079984,15.64,13.34,5.16,-1.1,126,0.52,7552.02,11.13215,,0.1305,4.0,49.209,6.0,mmf1,1.0
SPAC1039.11c,gto1,alpha-glucosidase,Q9URX4,viable,SPAC1039.11c.1,I,5471270.0,5474945.0,-,0.382,2988.0,0.398,1.0,2988.0,1.0,0.474,2988.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,0.81,11.39,0.35457746594151,,,112.71,4.51,-42.81,995,0.61,,,,0.0666,8.0,49.899,142.0,gto2|agl1,2.0
SPAC105.01c,kha1,plasma membrane potassium ion/proton antiporter Kha1,Q9P7I1,viable,SPAC105.01c.1,I,1740313.0,1743667.0,-,0.358,2886.0,0.37,3.0,2670.0,0.93,0.439,890.0,2.0,216.0,108.0,0.387,primary_transcript,1.0,1.1,29.24,0.348527211302011,0.348432055749129,0.84,98.95,7.97,5.35,889,0.66,,,,0.1706,8.0,53.121,73.0,none,0.0
SPAC105.02c,ank1,ankyrin repeat protein Ank1,Q9P7I0,viable,SPAC105.02c.1,I,1744019.0,1745637.0,-,0.361,850.0,0.396,3.0,513.0,0.6,0.474,171.0,2.0,337.0,168.5,0.392,primary_transcript,1.0,5.4,115.18,0.391399018199475,0.280112044817927,26.57,18.56,3.83,-24.18,170,0.56,26624.51,,0.355450236966825,0.0792,5.0,50.914,504.0,none,0.0
SPAC105.03c,dal81,DNA-binding transcription factor,Q9P7H9,viable,SPAC105.03c.1,I,1746468.0,1749165.0,-,0.38,2127.0,0.394,1.0,2127.0,1.0,0.447,2127.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,2.2,15.86,0.3523621064877,0.11454753722795,12.73,80.99,6.79,-1.95,708,0.65,,30.98607,,0.0683,7.0,53.725,268.0,SPAC25B8.11,1.0
SPAC1071.01c,pta1,"mRNA cleavage and polyadenylation specificity factor complex, symplekin scaffold subunit Pta1",Q10222,inviable,SPAC1071.01c.1,I,3855385.0,3857904.0,-,0.368,2167.0,0.378,2.0,2166.0,1.0,0.441,1083.0,1.0,1.0,1.0,0.55,primary_transcript,1.0,4.2,57.24,0.353776806310922,0.240384615384615,11.64,82.09,4.96,-20.18,721,0.6,982.2,10.66407,0.480568720379147,0.0983,6.0,49.305,63.0,none,0.0
SPAC1071.02,mms19,CIA machinery iron sulphur cluster to apoprotein adaptor Mms19,Q9UTR1,viable,SPAC1071.02.1,I,3858218.0,3861822.0,+,0.349,3257.0,0.355,5.0,3057.0,0.94,0.43,611.4,4.0,200.0,50.0,0.404,primary_transcript,1.0,1.8,40.16,0.363893510051293,0.0633713561470216,16.71,114.67,5.07,-15.79,1018,0.58,1911.91,41.00967,0.816587677725119,0.1088,7.0,47.726,248.0,none,0.0
SPAC1071.03c,sil1,"nucleotide exchange factor for the ER lumenal Hsp70 chaperone, Sil1",Q9UTR0,viable,SPAC1071.03c.1,I,3860907.0,3862735.0,-,0.344,1017.0,0.336,1.0,1017.0,1.0,0.316,1017.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,2.4,11.77,0.347043853427604,,,38.78,7.94,1.83,338,0.57,,1.782529,,0.1494,3.0,50.142,37.0,none,0.0
SPAC1071.04c,spc2,signal peptidase subunit Spc2,Q9UTQ9,viable,SPAC1071.04c.1,I,3863001.0,3863504.0,-,0.338,504.0,0.337,1.0,504.0,1.0,0.408,504.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,0.72,7.99,0.376998863619594,,,19.05,9.44,5.64,167,0.5,2383.54,17.8756,0.89739336492891,0.1722,6.0,44.217,235.0,none,0.0
SPAC1071.05,hpm1,ribosome methytransferase involved in ribosome assembly Hpm1,Q9UTQ8,viable,SPAC1071.05.1,I,3864490.0,3866158.0,+,0.348,1020.0,0.385,1.0,1020.0,1.0,0.395,1020.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,4.8,39.27,0.370142087510899,,,38.25,4.36,-18.82,339,0.57,1956.33,13.38835,0.612322274881517,0.0916,5.0,45.377,282.0,none,0.0
SPAC1071.06,arp9,SWI/SNF and RSC complex subunit Arp9,Q9UTQ7,viable,SPAC1071.06.1,I,3866533.0,3868410.0,+,0.38,1572.0,0.396,1.0,1572.0,1.0,0.382,1572.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,2.7,36.25,0.348350013680117,,,59.14,4.58,-24.83,523,0.63,6058.01,11.01765,0.39218009478673,0.0613,9.0,52.866,59.0,none,0.0
SPAC1071.07c,rps1502,40S ribosomal protein S15,Q9UTQ6,viable,SPAC1071.07c.1,I,3868310.0,3868978.0,-,0.434,465.0,0.501,1.0,465.0,1.0,0.526,465.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,180.0,882.53,0.550249628831937,0.515463917525773,91.62,17.63,11.02,13.43,154,0.43,57823.85,15.92413,0.0545023696682464,0.0986,6.0,36.145,327.0,rps1501,1.0
SPAC1071.08,rpp203,60S acidic ribosomal protein A2,O14317,viable,SPAC1071.08.1,I,3869089.0,3869610.0,+,0.441,427.0,0.475,2.0,333.0,0.78,0.479,166.5,1.0,94.0,94.0,0.408,primary_transcript,1.0,54.0,327.52,0.588393973181575,0.176678445229682,29.67,11.11,3.77,-15.99,110,0.36,141634.78,11.66224,0.132464454976303,0.1776,4.0,35.677,358.0,rpp202|rpp201,2.0
SPAC1071.09c,djc9,"histones H3-H4 binding DNAJ domain protein, DNAJC9 family, Djc9",Q9UTQ5,viable,SPAC1071.09c.1,I,3869017.0,3871449.0,-,0.372,768.0,0.388,1.0,768.0,1.0,0.421,768.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,3.0,18.96,0.354780504970041,0.114942528735632,20.68,29.74,9.13,5.88,255,0.6,,6.762924,0.569431279620853,0.0922,4.0,54.393,464.0,none,0.0
SPAC1071.10c,pma1,"plasma membrane P-type proton exporting ATPase, P3-type Pma1",P09627,inviable,SPAC1071.10c.1,I,3871642.0,3876111.0,-,0.401,2760.0,0.457,1.0,2760.0,1.0,0.487,2760.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,190.0,51.85,0.53789073252253,1.38888888888889,35.48,99.88,4.81,-26.63,919,0.45,145212.17,16.53115,0.068957345971564,0.0782,10.0,31.426,237.0,none,0.0
SPAC1071.11,coq12,NAD reductase Coq12,Q9UTQ4,condition-dependent,SPAC1071.11.1,I,3882415.0,3884256.0,+,0.362,735.0,0.407,1.0,735.0,1.0,0.421,735.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,1.4,33.8,0.351681154433872,0.0631313131313131,5.27,27.04,8.74,7.19,244,0.6,2640.37,,0.800473933649289,,4.0,52.151,135.0,none,0.0
SPAC1071.12c,stp1,"protein tyrosine phosphatase Stp1, unknown biological role",P41893,viable,SPAC1071.12c.1,I,3883445.0,3884363.0,-,0.333,471.0,0.386,1.0,471.0,1.0,0.368,471.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,4.5,10.18,0.358717997827071,0.068259385665529,27.84,17.39,8.62,3.58,156,0.53,2881.26,11.81395,0.414218009478673,0.1132,9.0,45.481,731.0,none,0.0
SPAC1071.13,SPAC1071.13,"Schizosaccharomyces pombe specific protein, predicted KOW-SH3 superfamily member",G2TRN1,unknown,SPAC1071.13.1,I,3881345.0,3881812.0,+,0.278,318.0,0.34,1.0,318.0,1.0,0.408,318.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,0.0,49.4,,,,12.9,11.87,22.41,105,0.5,,,,,,,,,
SPAC1093.01,ppr5,mitochondrial PPR repeat protein Ppr5,Q10451,viable,SPAC1093.01.1,I,4606818.0,4611737.0,+,0.371,3786.0,0.389,1.0,3786.0,1.0,0.434,3786.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,2.0,170.07,0.383446469359523,0.276243093922652,4.4,141.95,7.23,3.13,1261,0.57,,,0.560900473933649,0.0539,3.0,47.125,260.0,none,0.0
SPAC1093.02,pdx3,pyridoxamine 5'-phosphate oxidase Pdx3,Q9UTQ1,viable,SPAC1093.02.1,I,4612115.0,4613297.0,+,0.364,696.0,0.407,1.0,696.0,1.0,0.447,696.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,12.0,33.33,0.39198586091315,0.526315789473684,14.92,27.01,6.18,-2.02,231,0.55,8332.16,11.85466,0.183649289099526,0.0438,5.0,45.796,361.0,none,0.0
SPAC1093.03,fig4,inositol polyphosphate phosphatase Fig4,Q7Z9H9,viable,SPAC1093.03.1,I,4613602.0,4617157.0,+,0.354,2705.0,0.363,5.0,2499.0,0.92,0.397,499.8,4.0,206.0,51.5,0.349,primary_transcript,1.0,1.3,32.67,0.351931090967361,0.169491525423729,4.16,96.03,8.62,12.98,832,0.6,,,0.548578199052133,0.0729,7.0,49.145,102.0,none,0.0
SPAC1093.04c,cca1,CTP 3'-tRNA nucleotidyltransferase Cca1,Q9UTQ0,inviable,SPAC1093.04c.1,I,4613715.0,4618439.0,-,0.355,1679.0,0.356,4.0,1503.0,0.9,0.434,375.75,4.0,238.0,59.5,0.368,primary_transcript,1.0,1.7,10.01,0.359756103254856,0.136239782016349,9.32,57.55,7.48,2.72,500,0.6,622.45,13.56034,0.727251184834123,0.1079,5.0,50.674,517.0,cca2,1.0
SPAC1093.05,hca4,ATP-dependent RNA helicase Hca4,Q9UTP9,inviable,SPAC1093.05.1,I,4619672.0,4622351.0,+,0.37,2208.0,0.387,1.0,2208.0,1.0,0.447,2208.0,0.0,0.0,0.0,0.0,primary_transcript,1.0,4.4,22.72,0.394092526458254,0.364963503649635,15.19,83.67,7.72,3.76,735,0.54,3733.91,8.365469,0.249289099526066,0.05,8.0,45.661,696.0,none,0.0
