complex_term_id	GO_term_name	systematic_id	symbol	gene_product_description	UniProt_ID	evidence_code	source	assigned_by
GO:0000124	SAGA complex	SPCC126.04c	sgf73	SAGA complex deubiquitinating submodule subunit Sgf73	O94397	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPCC16C4.18c	taf6	SAGA complex/transcription factor TFIID complex histone H4-like subunit Taf6	O74462	IDA	PMID:11972332,PMID:19056896	PomBase
GO:0000124	SAGA complex	SPCC16C4.18c	taf6	SAGA complex/transcription factor TFIID complex histone H4-like subunit Taf6	O74462	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPCC24B10.08c	ada2	SAGA complex subunit Ada2	Q9P7J7	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPCC24B10.08c	ada2	SAGA complex subunit Ada2	Q9P7J7	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPCC5E4.03c	taf5	SAGA complex/TATA-binding protein associated factor/transcription factor TFIID complex WD repeat subunit Taf5	O13282	IDA	PMID:11279037,PMID:11972332,PMID:19056896	PomBase
GO:0000124	SAGA complex	SPCC5E4.03c	taf5	SAGA complex/TATA-binding protein associated factor/transcription factor TFIID complex WD repeat subunit Taf5	O13282	IPI	PMID:29079657	PomBase
GO:0000124	SAGA complex	SPCC61.02	spt3	SAGA complex subunit Spt3	O14311	IDA	PMID:19056896	PomBase
GO:0000124	SAGA complex	SPCC61.02	spt3	SAGA complex subunit Spt3	O14311	IPI	PMID:29079657	PomBase
GO:0000126	transcription factor TFIIIB complex	SPAC29E6.08	tbp1	TATA-binding protein (TBP)	P17871	ISO	GO_REF:0000024	PomBase
GO:0000126	transcription factor TFIIIB complex	SPBC13E7.10c	brf1	transcription factor TFIIIB complex subunit Brf1	Q9P6R0	IDA	PMID:12682361	PomBase
GO:0000126	transcription factor TFIIIB complex	SPCC1919.14c	bdp1	transcription factor TFIIIB complex subunit Bdp1	O94481	IBA	GO_REF:0000033	GO_Central
GO:0000127	transcription factor TFIIIC complex	SPAC1250.07	sfc7	transcription factor TFIIIC subunit Sfc7	A6X980	IBA	GO_REF:0000033	GO_Central
GO:0000127	transcription factor TFIIIC complex	SPAC6F12.11c	sfc1	transcription factor TFIIIC complex A box associated subunit Sfc1	O14229	EXP	PMID:23921640	PomBase
GO:0000127	transcription factor TFIIIC complex	SPAC6F12.11c	sfc1	transcription factor TFIIIC complex A box associated subunit Sfc1	O14229	IDA	PMID:10906331	PomBase
GO:0000127	transcription factor TFIIIC complex	SPBC21H7.05	sfc6	transcription factor TFIIIC complex subunit Sfc6	O60174	IDA	PMID:10906331	PomBase
GO:0000127	transcription factor TFIIIC complex	SPBC336.07	sfc3	transcription factor TFIIIC complex B box binding subunit Sfc3	Q9UST7	IDA	PMID:10906331	PomBase
GO:0000127	transcription factor TFIIIC complex	SPBC8D2.07c	sfc9	transcription factor TFIIIC complex subunit Sfc9	O13650	IBA	GO_REF:0000033	GO_Central
GO:0000127	transcription factor TFIIIC complex	SPCC16C4.14c	sfc4	transcription factor TFIIIC complex subunit Sfc4	O74458	IDA	PMID:10906331	PomBase
GO:0000136	mannan polymerase complex	SPBC8D2.17	gmh4	Golgi alpha-1,6-galactosyltransferase Gmh4	O13640	IBA	GO_REF:0000033	GO_Central
GO:0000145	exocyst	SPAC13F5.06c	sec10	exocyst complex subunit Exo5	O13705	IDA	PMID:11854409	PomBase
GO:0000145	exocyst	SPAC17G8.12	sec3	exocyst complex subunit Exo1	Q10324	IPI	PMID:22891673	PomBase
GO:0000145	exocyst	SPAC6F12.08c	exo8	exocyst complex subunit Exo8	O14226	ISS	GO_REF:0000024	PomBase
GO:0000145	exocyst	SPBC106.20	exo70	exocyst complex subunit Exo7	Q10339	IDA	PMID:11854409	PomBase
GO:0000145	exocyst	SPCC1183.01	sec15	exocyst complex subunit Exo6	O75006	IBA	GO_REF:0000033	GO_Central
GO:0000145	exocyst	SPCC1235.10c	sec6	exocyst complex subunit Exo3	O74846	IDA	PMID:11854409	PomBase
GO:0000145	exocyst	SPCC18.04	pof6	exocyst complex subunit Exo5-like, F-box protein Pof6	O74854	IBA	GO_REF:0000033	GO_Central
GO:0000145	exocyst	SPCC622.10c	sec5	exocyst complex subunit Exo2	O94598	IBA	GO_REF:0000033	GO_Central
GO:0000145	exocyst	SPCC970.09	sec8	exocyst complex subunit Exo4	O74562	IBA	GO_REF:0000033	GO_Central
GO:0000148	1,3-beta-D-glucan synthase complex	SPAC19B12.03	bgs3	cell wall 1,3-beta-glucan synthase catalytic subunit Bgs3	Q9P377	IC	GO_REF:0000111	PomBase
GO:0000148	1,3-beta-D-glucan synthase complex	SPAC24C9.07c	bgs2	spore wall 1,3-beta-glucan synthase catalytic subunit Bgs2	O13967	IC	PMID:10922478	PomBase
GO:0000148	1,3-beta-D-glucan synthase complex	SPBC1289.01c	chr4	SEL1/TPR repeat protein1, 3-beta-glucan synthase regulatory factor Chf3/Chr4	O94614	IPI	PMID:19237545	PomBase
GO:0000148	1,3-beta-D-glucan synthase complex	SPBC19G7.05c	bgs1	primary septum and spore wall linear 1,3-beta-glucan synthase catalytic subunit Bgs1	Q10287	IC	PMID:12356913	PomBase
GO:0000148	1,3-beta-D-glucan synthase complex	SPCC1840.02c	bgs4	cell wall and secondary septum 1,6 branched 1,3-beta-glucan synthase catalytic subunit Bgs4	O74475	NAS	GO_REF:0000051	PomBase
GO:0000151	ubiquitin ligase complex	SPAC1002.14	itt1	ubiquitin-protein ligase E3 involved in cytoplasmic translational termination	Q9US46	IBA	GO_REF:0000033	GO_Central
GO:0000151	ubiquitin ligase complex	SPAC13D6.04c	btb3	BTB/POZ family substrate adaptor for cullin 3 ubiquitin ligase Btb3	Q10225	IPI	PMID:14527422	PomBase
GO:0000151	ubiquitin ligase complex	SPAC15A10.11	ubr11	ubiquitin-protein ligase E3 (UBR family) Ubr11	O13731	IBA	GO_REF:0000033	GO_Central
GO:0000151	ubiquitin ligase complex	SPAC20H4.10	ufd2	ubiquitin-protein ligase E4 Ufd2	Q9HE05	IEA	GO_REF:0000002	InterPro
GO:0000151	ubiquitin ligase complex	SPAC328.02	dbl4	ubiquitin-protein ligase E3 involved in sporulation Dbl4	Q9P3U4	IBA	GO_REF:0000033	GO_Central
GO:0000151	ubiquitin ligase complex	SPAC6F6.02c	pof5	F-box protein Pof5	O14235	ISM	GO_REF:0000050	PomBase
GO:0000151	ubiquitin ligase complex	SPAPB1A10.14	pof15	F-box protein	Q9HDX6	NAS	GO_REF:0000051	PomBase
GO:0000151	ubiquitin ligase complex	SPAPJ691.02	moh1	yippee-like protein, Moh1	Q9URW3	IBA	GO_REF:0000033	GO_Central
GO:0000151	ubiquitin ligase complex	SPBC1271.01c	pof13	F-box protein Pof13	O94334	ISM	GO_REF:0000050	PomBase
GO:0000151	ubiquitin ligase complex	SPBC1703.06	pof10	F-box/WD repeat protein Pof10	Q9P7W4	ISM	GO_REF:0000050	PomBase
GO:0000151	ubiquitin ligase complex	SPBC1734.10c	ipa1	cleavage and polyadenylation HECT-type ubiquitin-protein ligase E3 Ipa1	O74751	IBA	GO_REF:0000033	GO_Central
GO:0000151	ubiquitin ligase complex	SPBC19C7.02	ubr1	N-end-recognizing protein, UBR ubiquitin-protein ligase E3 Ubr1	O60152	IBA	GO_REF:0000033	GO_Central
GO:0000151	ubiquitin ligase complex	SPBC25B2.06c	btb2	BTB/POZ family ubiquitin-type ligase substrate adaptor Btb2	O74778	IPI	PMID:14527422	PomBase
GO:0000151	ubiquitin ligase complex	SPBC25B2.11	pof2	F-box protein Pof2	O74783	ISM	GO_REF:0000050	PomBase
GO:0000151	ubiquitin ligase complex	SPBC3H7.06c	pof9	F-box protein Pof9	O74381	ISM	GO_REF:0000050	PomBase
GO:0000151	ubiquitin ligase complex	SPBC56F2.01	pof12	F-box protein Pof12	O60053	ISM	GO_REF:0000050	PomBase
GO:0000151	ubiquitin ligase complex	SPBC839.03c	dcn1	neddylation protein Dcn1	Q8WZK4	IBA	GO_REF:0000033	GO_Central
GO:0000151	ubiquitin ligase complex	SPBP16F5.04	ubc7	Hrd1 ubiquitin ligase complex ubiquitin conjugating enzyme E2 Ubc7	O00102	ISO	GO_REF:0000024	PomBase
GO:0000151	ubiquitin ligase complex	SPCC18.04	pof6	exocyst complex subunit Exo5-like, F-box protein Pof6	O74854	ISM	GO_REF:0000050	PomBase
GO:0000151	ubiquitin ligase complex	SPCC330.11	btb1	BTB/POZ family ubiquitin-type ligase substrate adaptor Btb1	O74881	IPI	PMID:14527422	PomBase
GO:0000151	ubiquitin ligase complex	SPCC338.16	pof3	F-box protein Pof3	O74991	ISM	GO_REF:0000050	PomBase
GO:0000159	protein phosphatase type 2A complex	SPAC1782.05	ypa2	serine/threonine protein phosphatase PP2A regulatory subunit, PTPA family Ypa2	Q9P7H4	IBA	GO_REF:0000033	GO_Central
GO:0000159	protein phosphatase type 2A complex	SPAC227.07c	pab1	serine/threonine protein phosphatase PP2A regulatory subunit B-55 Pab1	Q12702	IDA	PMID:29079657,PMID:9078365	PomBase
GO:0000159	protein phosphatase type 2A complex	SPAC4F10.04	ypa1	serine/threonine protein phosphatase PP2A regulatory subunit, PTPA family Ypa1	O36016	IBA	GO_REF:0000033	GO_Central
GO:0000159	protein phosphatase type 2A complex	SPAC6F12.12	par2	serine/threonine protein phosphatase PP2A regulatory subunit B-56 Par2	P78759	TAS	PMID:10757751	PomBase
GO:0000159	protein phosphatase type 2A complex	SPAP8A3.09c	paa1	serine/threonine protein phosphatase PP2A scaffold subunit Paa1	Q9UT08	IDA	PMID:16541024	PomBase
GO:0000159	protein phosphatase type 2A complex	SPBC16H5.07c	ppa2	serine/threonine protein phosphatase PP2A catalytic subunit Ppa2	P23636	IDA	PMID:16541024	PomBase
GO:0000159	protein phosphatase type 2A complex	SPCC188.02	par1	serine/threonine protein phosphatase PP2A regulatory subunit B-56 Par1	Q10428	IDA	PMID:16541024	PomBase
GO:0000164	protein phosphatase type 1 complex	SPAC227.15	reg1	serine/threonine protein phosphatase PP1 regulatory subunit Reg1	Q9UTC4	ISO	GO_REF:0000024	PomBase
GO:0000164	protein phosphatase type 1 complex	SPBC776.02c	dis2	serine/threonine protein phosphatase PP1 catalytic subunit Dis2	P13681	IPI	PMID:24554432	PomBase
GO:0000164	protein phosphatase type 1 complex	SPCC31H12.05c	sds21	serine/threonine protein phosphatase PP1 catalytic subunit Sds21	P23880	IPI	PMID:24554432	PomBase
GO:0000172	ribonuclease MRP complex	SPAC1805.18	pop6	RNase P and RNase MRP subunit Pop6/Pop7 ortholog	G2TRL5	ISO	GO_REF:0000024	PomBase
GO:0000172	ribonuclease MRP complex	SPAC25B8.16	pop100	RNase P and RNase MRP subunit Pop100	Q9UTA4	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPAC323.08	rmp1	RNase MRP subunit Rmp1	Q9UT91	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPAC3A12.04c	rpp1	RNase P and RNase MRP subunit p30, Rpp1	P87120	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPAC6C3.09	rpp40	RNase P and RNase MRP subunit Rpp40	Q10312	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPBC1703.01c	pop4	RNase P and RNase MRP subunit Pop4	Q9P7W9	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPBC1709.20	pop8	RNase P and RNase MRP subunit Pop8	Q7Z996	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPBC18H10.12c	rpl701	RNase MRP subunit, ribosomal protein L7-like Rpl701	O60143	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPBP8B7.01c	pop7	RNase P and RNase MRP subunit Pop7	O94251	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPCC16C4.05	pop23	RNase P and RNase MRP subunit Pop23	O74450	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPCC16C4.19	rpp21	RNase MRP subunit Rpp24	O94306	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPCC830.09c	pop5	RNase P and RNase MRP subunit Pop5	Q9UU90	EXP	PMID:25401760	PomBase
GO:0000172	ribonuclease MRP complex	SPNCRNA.82	mrp1	RNAse MRP		EXP	PMID:25401760	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPAC1F3.01	rrp6	exosome 3'-5' exoribonuclease subunit Rrp6	Q10146	EXP	PMID:29906447	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPAC22A12.12c	rrp40	exosome subunit Rrp40	O13903	EXP	PMID:29906447	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPAC2F7.14c	rrp4	exosome subunit Rrp4	Q09704	EXP	PMID:29906447	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPAC3G9.10c	rrp41	exosome subunit Rrp41	O42872	EXP	PMID:29906447	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPACUNK4.11c	mpp6	nuclear exosome-associated RNA binding protein Mpp6	O14076	ISO	GO_REF:0000024	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPBC115.01c	rrp46	exosome subunit Rrp46	O42894	EXP	PMID:29906447	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPBC16G5.10	rrp42	exosome subunit Rrp42	O60124	EXP	PMID:29906447	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPBC17D1.03c	rrp43	exosome subunit Rrp43	Q10205	EXP	PMID:29906447	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPBC211.08c	mtr3	exosome subunit Mtr3	Q9P7R3	EXP	PMID:29906447	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPBC26H8.10	dis3	exosome 3'-5' exoribonuclease subunit Dis3	P37202	EXP	PMID:29906447	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPCC1739.07	cti1	exosome C1D family subunit Cti1	O74469	ISO	GO_REF:0000024	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPCC1840.11	csl4	exosome subunit Csl4	O59821	EXP	PMID:29906447	PomBase
GO:0000176	nuclear exosome (RNase complex)	SPCC757.08	rrp45	exosome subunit Rrp45	O74918	EXP	PMID:29906447	PomBase
GO:0000177	cytoplasmic exosome (RNase complex)	SPAC22A12.12c	rrp40	exosome subunit Rrp40	O13903	IBA	GO_REF:0000033	GO_Central
GO:0000177	cytoplasmic exosome (RNase complex)	SPAC2F7.14c	rrp4	exosome subunit Rrp4	Q09704	IBA	GO_REF:0000033	GO_Central
GO:0000177	cytoplasmic exosome (RNase complex)	SPAC3G9.10c	rrp41	exosome subunit Rrp41	O42872	IBA	GO_REF:0000033	GO_Central
GO:0000177	cytoplasmic exosome (RNase complex)	SPBC115.01c	rrp46	exosome subunit Rrp46	O42894	IBA	GO_REF:0000033	GO_Central
GO:0000177	cytoplasmic exosome (RNase complex)	SPBC16G5.10	rrp42	exosome subunit Rrp42	O60124	IBA	GO_REF:0000033	GO_Central
GO:0000177	cytoplasmic exosome (RNase complex)	SPBC17D1.03c	rrp43	exosome subunit Rrp43	Q10205	IBA	GO_REF:0000033	GO_Central
GO:0000177	cytoplasmic exosome (RNase complex)	SPBC211.08c	mtr3	exosome subunit Mtr3	Q9P7R3	IBA	GO_REF:0000033	GO_Central
GO:0000177	cytoplasmic exosome (RNase complex)	SPBC26H8.10	dis3	exosome 3'-5' exoribonuclease subunit Dis3	P37202	IBA	GO_REF:0000033	GO_Central
GO:0000177	cytoplasmic exosome (RNase complex)	SPCC1840.11	csl4	exosome subunit Csl4	O59821	ISO	GO_REF:0000024	PomBase
GO:0000177	cytoplasmic exosome (RNase complex)	SPCC757.08	rrp45	exosome subunit Rrp45	O74918	IBA	GO_REF:0000033	GO_Central
GO:0000178	exosome (RNase complex)	SPAC1F3.01	rrp6	exosome 3'-5' exoribonuclease subunit Rrp6	Q10146	IDA	PMID:23503588	PomBase
GO:0000178	exosome (RNase complex)	SPAC22A12.12c	rrp40	exosome subunit Rrp40	O13903	IDA	PMID:23503588	PomBase
GO:0000178	exosome (RNase complex)	SPAC2F7.14c	rrp4	exosome subunit Rrp4	Q09704	IDA	PMID:23503588	PomBase
GO:0000178	exosome (RNase complex)	SPAC3G9.10c	rrp41	exosome subunit Rrp41	O42872	IDA	PMID:23503588	PomBase
GO:0000178	exosome (RNase complex)	SPBC115.01c	rrp46	exosome subunit Rrp46	O42894	IDA	PMID:23503588	PomBase
GO:0000178	exosome (RNase complex)	SPBC16G5.10	rrp42	exosome subunit Rrp42	O60124	IDA	PMID:23503588	PomBase
GO:0000178	exosome (RNase complex)	SPBC17D1.03c	rrp43	exosome subunit Rrp43	Q10205	IDA	PMID:23503588	PomBase
GO:0000178	exosome (RNase complex)	SPBC211.08c	mtr3	exosome subunit Mtr3	Q9P7R3	IDA	PMID:23503588	PomBase
GO:0000178	exosome (RNase complex)	SPBC26H8.10	dis3	exosome 3'-5' exoribonuclease subunit Dis3	P37202	IDA	PMID:23503588	PomBase
GO:0000178	exosome (RNase complex)	SPCC1739.07	cti1	exosome C1D family subunit Cti1	O74469	IDA	PMID:23503588	PomBase
GO:0000178	exosome (RNase complex)	SPCC1840.11	csl4	exosome subunit Csl4	O59821	IDA	PMID:23503588	PomBase
GO:0000178	exosome (RNase complex)	SPCC757.08	rrp45	exosome subunit Rrp45	O74918	IDA	PMID:23503588	PomBase
GO:0000214	tRNA-intron endonuclease complex	SPAC959.10	sen15	tRNA-splicing endonuclease subunit Sen15	Q7LKV3	IBA	GO_REF:0000033	GO_Central
GO:0000214	tRNA-intron endonuclease complex	SPAPB17E12.07c	sen2	tRNA-splicing endonuclease catalytic subunit Sen2	Q8TFH7	IBA	GO_REF:0000033	GO_Central
GO:0000214	tRNA-intron endonuclease complex	SPBC19C7.07c	sen34	tRNA-splicing endonuclease catalytic subunit Sen34	O60156	ISO	GO_REF:0000024	PomBase
GO:0000214	tRNA-intron endonuclease complex	SPCC613.09	sen54	tRNA-splicing endonuclease subunit Sen54	O74908	IBA	GO_REF:0000033	GO_Central
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	SPAC16E8.07c	vph1	V-type ATPase V0 subunit a	O13742	ISO	GO_REF:0000024	PomBase
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	SPAC17A2.03c	vma6	V-type ATPase V0 subunit d	O13753	ISO	GO_REF:0000024	PomBase
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	SPAC1B3.14	vma3	V-type ATPase V0 subunit c (proteolipid subunit)	P50515	ISO	PMID:14735354	PomBase
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	SPAC2C4.13	vma16	V-type ATPase V0 subunit c''	O14046	ISO	GO_REF:0000024	PomBase
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	SPAC2F3.18c	SPAC2F3.18c	V-type ATPase V0 subunit f	Q8NIQ1	ISO	GO_REF:0000024	PomBase
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	SPAC732.01	vma11	V-type ATPase V0 subunit c' (proteolipid subunit)	Q9URZ8	ISO	GO_REF:0000024	PomBase
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	SPBC1685.16	vma9	V-type ATPase V0 subunit e	Q69Z14	IBA	GO_REF:0000033	GO_Central
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	SPAC11E3.07	vma4	V-type ATPase V1 subunit E	O13687	ISO	GO_REF:0000024	PomBase
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	SPAC343.05	vma1	V-type ATPase V1 domain, subunit A	P31406	ISO	PMID:14735354	PomBase
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	SPAC637.05c	vma2	V-type ATPase V1 subunit B	P31411	ISO	GO_REF:0000024	PomBase
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	SPAC7D4.10	vma13	V-type ATPase V1 subunit H	O14265	ISO	GO_REF:0000024	PomBase
